F1
Opennessid 0,Opennessid 1,Opennessid 2,Opennessid 3,Opennessid 4
0.9867695045980422,0.9681258469333647,0.9391747687929809,0.9137158894130292,0.9047027506654837
0.9874521354933726,0.9702447326721052,0.9339873052510098,0.9158353399839467,0.9119662023292989
0.9860370348175226,0.9712979120284012,0.9673415280790552,0.9606488434965454,0.9564955410942395
0.9884341103853299,0.9392853012605529,0.9279158140894475,0.9211555296177415,0.9127002827521207
0.98651991095721,0.9734534976396296,0.9546430982630577,0.9341354502604812,0.9334986055159592
0.985696480503294,0.9675736558183651,0.9411833489242282,0.9076520221123072,0.8976553341148887
0.9875479492475656,0.9675816374822527,0.9335395897788472,0.9170607913254125,0.914683351850769
0.9826811290225924,0.9695652173913043,0.9620237879611181,0.955379632961497,0.9510624209956058
0.9874191229331416,0.9377790663960568,0.921242983623633,0.9119841454884589,0.9039054769803854
0.9835236038259797,0.9735821171254387,0.9545708781306319,0.9301662118580997,0.9292441140024783
0.986764793162799,0.9689927076539988,0.9458081902864842,0.913989757914339,0.9072310405643739
0.9879957632105448,0.9673040604343721,0.9426892418688543,0.931088716723947,0.9254284390921724
0.9865026278069757,0.9697484086086693,0.966993108451215,0.9599275799637901,0.9551216581556023
0.9895920564660844,0.9421246276937453,0.9289082969432314,0.9160074453234063,0.9113539414480218
0.9868623943748842,0.9729129388535819,0.957713439101179,0.9304087493126413,0.927784730913642
0.9883803651885226,0.9674087266251112,0.9342128305411243,0.9020962641995551,0.8951252106211145
0.9892789820923659,0.968311933089881,0.9425555490756401,0.9316655084549456,0.9267329033757482
0.9859171810391323,0.9715725080964376,0.9623160665151335,0.9550986151909358,0.9505520883341334
0.9879619093250285,0.9516232816613045,0.9367207715831568,0.9275689819219792,0.9208410268628268
0.9872103799814643,0.9763390374992277,0.9582536844052537,0.9390597079302483,0.938019326644919
0.986764793162799,0.9696361058601134,0.9340723453908985,0.9093137254901962,0.8965923135777764
0.9878113407525172,0.9675209637415851,0.9406774737086748,0.9281145472683527,0.9244797755436054
0.9862898880440639,0.9699072689201316,0.9613179651197876,0.953372837732687,0.9465785242093979
0.9882085353444664,0.9409248554913295,0.9277816984239002,0.9177367340955732,0.9113039426940773
0.9844707046959105,0.9710055521283159,0.9544170045460129,0.9374412925042269,0.9368546216909694
Threshold
Opennessid 0,Opennessid 1,Opennessid 2,Opennessid 3,Opennessid 4
0.7545435829565643,0.9902626194783635,0.9999713405309054,0.9999989344282683,0.9999989565734944
0.6463423251975363,0.9922784012370636,0.99985167879586,0.9999761089319903,0.9999761089319903
0.7615139451240219,0.9964170951471546,0.9985945370128806,0.9992896197255012,0.9997369721319134
0.6542977279451139,0.9944034907754101,0.9998954771163616,0.99994962584829,0.9999932838952124
0.7127828989533803,0.8987063502988726,0.9988386376675067,0.9999780780452256,0.9999780780452256
0.7032849804033323,0.9951485377353143,0.9997717807473561,0.9999946317085637,0.9999983959664047
0.6848159466538648,0.9980265213862667,0.9990980039406583,0.9999621559899184,0.9999932367483029
0.6472520901212779,0.9960927224832252,0.9990190249107891,0.99909620157813,0.9997351235113565
0.6570104626734988,0.9951262187303087,0.9997121949976921,0.9999694449492722,0.9999849632677981
0.5734572062329717,0.9083755022127717,0.999378653114764,0.9999553667800999,0.9999553667800999
0.7213161971371501,0.9966784610606199,0.9997442329033401,0.9999899607639707,0.9999976023030792
0.5678284362180928,0.9992031126287682,0.9999185949631961,0.9999875277511354,0.9999875277511354
0.5493389149882192,0.9991470600050828,0.9991470600050828,0.9995969311432178,0.9996196324158337
0.5984462164550849,0.9990170492073904,0.9998314261456066,0.9999658589349152,0.9999870577375469
0.6008352798610086,0.9714995330951984,0.9989490146116049,0.9998955815238997,0.9999906767271207
0.6556333512263202,0.9982544520926053,0.9999046630731083,0.9999955205239858,0.9999955205239858
0.598687660112452,0.9982081915940455,0.9999153573387544,0.9999524650598992,0.9999797429516399
0.6322731173271727,0.9879190242692755,0.9970174808276941,0.9992910352301567,0.999682907536213
0.6632920261725068,0.9817826526972191,0.9996777948994687,0.999970378944699,0.9999877748129885
0.6084972590686323,0.9255319375190836,0.9974875968773851,0.9998324397507382,0.9998324397507382
0.6479395871842912,0.9824328273115649,0.9997706426713968,0.9999901693728939,0.9999977531790386
0.5960413683822208,0.9984773188718115,0.9998534457036699,0.9999905359435264,0.9999905359435264
0.6850328260633345,0.9878595719815535,0.9991975189396297,0.9992141810464137,0.9994012048375032
0.6378376468647953,0.9848113996334538,0.9999398132415298,0.9999744538783275,0.999975307825651
0.7078537897619274,0.9650305746988004,0.9980597098790247,0.9999783826347166,0.9999783826347166
