F1
Opennessid 0,Opennessid 1,Opennessid 2,Opennessid 3,Opennessid 4
0.9876631079478054,0.972669190724089,0.9465567352749273,0.9187737226277373,0.9081055882524329
0.9878637916813952,0.9724081249266173,0.9394008689686714,0.922457432121491,0.9187217783952761
0.985945945945946,0.972108186428399,0.9680767606058777,0.9627895810827031,0.9575982297709467
0.9880659670164917,0.9437043901308931,0.931918137571102,0.9231220657276995,0.9145178382197104
0.9881466847758982,0.9757836508912108,0.9588014981273408,0.9379471996052308,0.9358966433825802
0.985081695477149,0.9680920856444205,0.9475553450929324,0.9166914785922706,0.9061871524902403
0.9870405278039585,0.9681799397839306,0.9311908177905309,0.9135163127912999,0.9104057854560064
0.983250285165396,0.9729697188609958,0.9642236471504765,0.9563768374694994,0.9514328808446456
0.9867915465898176,0.9421948527275896,0.9268494445757505,0.9174797225814036,0.9090587611245359
0.9840014824881091,0.9706333149408375,0.9578733115401222,0.93601619532544,0.935041058953303
0.9877275152664968,0.967479194947766,0.9390471742176554,0.9099077796169308,0.9010654490106544
0.9886725663716813,0.9699398797595191,0.9402413553028545,0.9286743931269099,0.9256853842174837
0.9841972943852508,0.9721421709894332,0.9656248125262464,0.9575794251134643,0.9535136440473315
0.990416866315285,0.93973137412467,0.9253452998426481,0.9118685261269602,0.9043357773800589
0.9854234577772311,0.9752745567212713,0.9590945438887863,0.9314186679871256,0.9300370828182942
0.9889368751109271,0.9697184345670268,0.9331390265228797,0.9005499005499005,0.8928487137125325
0.9893905457974773,0.9713477184294306,0.9393554349081668,0.9305219495333564,0.9288100449256999
0.9854725892269982,0.963623223319682,0.9548776804590758,0.9491891891891892,0.945109120423255
0.9891675145131367,0.9578508024219622,0.9436212291162406,0.934469585659712,0.9275345144279197
0.9846382556987117,0.9699285186098102,0.9397145669291338,0.9103830402312695,0.9073882639100029
0.9859188402352801,0.9695100249139874,0.9392433191041459,0.9126111371080955,0.9027679205110006
0.988136693619784,0.9667570434987623,0.938887270608797,0.9289458357600466,0.9232569021993449
0.9863538424706728,0.9715696903987472,0.9655463706027878,0.95486821518835,0.9492218015744246
0.9887600143489178,0.939788164862998,0.9266728841221731,0.9165461800936905,0.9106872892196768
0.985865070057404,0.9712495392554369,0.9572765328736764,0.9386388992190405,0.9379412857673727
Threshold
Opennessid 0,Opennessid 1,Opennessid 2,Opennessid 3,Opennessid 4
0.6995101404444954,0.9903870791502503,0.9999479850835384,0.9999879206126102,0.999995379465286
0.6520352781544974,0.9885809530240923,0.9986563158873882,0.9999676543769553,0.9999901299720244
0.8329940422505668,0.9981560507049043,0.9990249049170993,0.9990249049170993,0.9993507190237249
0.7140221830751483,0.9874573448086335,0.9998845940825829,0.9999742743941638,0.9999930516507763
0.6804845042489689,0.9372585600842569,0.9975346172908495,0.9999354494908392,0.9999516937844887
0.5597136492671929,0.9989490146116049,0.9999120800155423,0.9999988853795501,0.999999165139202
0.5996436339080387,0.9973112381763438,0.9996844883848847,0.9999829611587231,0.9999856536405737
0.76781244156036,0.9859778494270847,0.9919419705971568,0.9947433333141963,0.9997401119046587
0.7205078569584782,0.9890669967540906,0.999965859617653,0.9999768152352178,0.9999926587787129
0.6327419345499377,0.8939745762105388,0.9981542083207827,0.9998172117730695,0.9998172117730695
0.7028339128622463,0.9923694012312165,0.9998566376727009,0.9999983019019004,0.9999983019019004
0.7066149108410753,0.996917649310284,0.9998507815540307,0.9999380424732138,0.9999380424732138
0.7111278528319611,0.9947641462638717,0.9984593361005906,0.9998668621032121,0.9998918626244407
0.7329938839459054,0.9860325622329902,0.9999015603070082,0.9999532195314933,0.9999756742313042
0.4912509127991932,0.8552020679279217,0.9956706452685964,0.9999457579566965,0.9999457579566965
0.5895241446811965,0.9947538430063936,0.9999146782220689,0.9999982710456066,0.9999993601286139
0.6245614776939064,0.9974394253332602,0.9997671761393295,0.9999253033041814,0.9999429193046728
0.5495858669699214,0.9985137295965991,0.9996901150422186,0.9996998678513365,0.9998537419851664
0.6224592160883347,0.9877245789997677,0.9996622907618188,0.9998434533577588,0.9999749346731099
0.7384639204306357,0.9340725714947224,0.9946003025250252,0.9973879267235943,0.998721769461778
0.7097142506198081,0.9929032726371358,0.9996676493309103,0.999985246242383,0.9999971579881026
0.7407732347146482,0.997248867112482,0.9998727202055714,0.9999643241003355,0.9999875523716708
0.6802662164822093,0.9964277735119926,0.9991023030440045,0.9997075719694848,0.9998078418211308
0.6137249437740369,0.968598652458105,0.9997961642141988,0.9998790485047949,0.9999675894934447
0.6075427026404454,0.9282423436380658,0.997931736694416,0.9999360278978927,0.9999360278978927
